,Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total)
159,Richaun Holmes,2019-20,64,2.555,59,1.220,2505
160,Bismack Biyombo,2018-19,64,4.048,58,0.881,1581
161,Jonas Jerebko,2018-19,64,2.321,59,1.220,2758
162,Domantas Sabonis,2017-18,63,1.611,58,1.224,3911
163,Amir Johnson,2017-18,63,2.388,58,0.898,2638
164,Tyson Chandler,2013-14,63,2.030,59,0.644,3104
165,Julius Randle,2019-20,63,1.484,57,0.982,4246
166,Myles Turner,2017-18,63,1.565,60,1.100,4026
167,Alex Len,2018-19,62,1.838,57,1.105,3374
168,Channing Frye,2016-17,62,2.013,58,0.776,3080
169,Dewayne Dedmon,2016-17,62,2.252,59,1.017,2753
170,John Henson,2017-18,62,1.543,59,0.847,4017
171,Blake Griffin,2017-18,62,1.562,55,0.745,3970
172,Al Horford,2016-17,62,1.120,60,0.900,5536
173,Carmelo Anthony,2017-18,61,1.148,57,0.684,5314
174,DeAndre Jordan,2013-14,61,0.931,59,0.915,6555
175,Marcus Morris Sr.,2018-19,61,1.254,56,1.196,4866
176,Markieff Morris,2017-18,61,1.429,57,1.035,4270
177,Dwight Howard,2019-20,60,1.860,58,1.155,3225
178,Pau Gasol,2017-18,60,1.604,56,0.875,3740
179,Andrea Bargnani,2013-14,60,2.585,55,0.982,2321
180,Alex Len,2015-16,59,1.598,59,0.966,3692
181,John Collins,2020-21,59,1.195,55,1.127,4936
182,Karl-Anthony Towns,2018-19,59,1.125,57,0.702,5245
183,Nikola Jokic,2020-21,59,1.039,55,0.891,5678
184,Brook Lopez,2016-17,58,1.249,56,1.232,4644
185,Josh Smith,2014-15,58,1.064,54,1.255,5449
186,Nikola Jokic,2017-18,58,1.208,54,1.000,4803
187,Blake Griffin,2014-15,58,1.011,54,0.815,5737
188,Amir Johnson,2016-17,58,1.665,55,0.873,3484
189,Andre Drummond,2017-18,58,1.109,55,0.927,5232
190,Alex Len,2016-17,58,1.819,54,1.000,3188
191,Blake Griffin,2016-17,57,1.323,55,0.855,4309
192,Serge Ibaka,2015-16,57,0.915,53,0.887,6230
193,Cristiano Felicio,2017-18,57,2.914,52,1.283,1956
194,James Harden,2019-20,57,0.925,49,0.939,6161
195,Terrence Jones,2014-15,57,2.186,55,0.818,2608
196,Willie Cauley-Stein,2016-17,57,2.040,54,0.907,2794
197,Nikola Vucevic,2016-17,57,1.310,55,1.036,4350
198,Willy Hernangomez,2018-19,57,3.369,52,1.113,1692
199,Serge Ibaka,2020-21,57,2.952,51,1.039,1931
200,Robin Lopez,2017-18,57,1.667,53,0.925,3420
201,Clint Capela,2020-21,57,1.136,53,0.943,5016
202,Myles Turner,2016-17,57,1.081,53,0.774,5274
203,Kevin Durant,2013-14,56,0.718,53,0.887,7801
204,Tyson Chandler,2015-16,56,1.720,54,0.926,3255
205,Bismack Biyombo,2017-18,56,1.870,54,1.185,2995
206,Aron Baynes,2017-18,56,1.564,53,0.962,3580
207,Jarrett Allen,2019-20,56,1.360,50,1.260,4118
208,Robin Lopez,2016-17,56,1.180,52,0.827,4746
209,Bruno Fernando,2019-20,56,3.748,54,1.019,1494
210,John Collins,2019-20,55,1.888,51,1.118,2913
211,Tristan Thompson,2020-21,55,1.869,53,1.057,2943
212,Kevin Love,2015-16,55,0.951,55,0.873,5781
213,Maxi Kleber,2019-20,55,1.281,50,0.940,4295
214,Damian Jones,2020-21,54,4.749,52,1.192,1137
215,Kyle Kuzma,2018-19,54,1.090,48,0.750,4954
216,Willy Hernangomez,2016-17,54,2.033,50,1.080,2656
217,Serge Ibaka,2016-17,53,0.990,50,0.760,5351
218,Serge Ibaka,2017-18,53,1.107,48,1.250,4786
219,Marc Gasol,2017-18,53,1.132,50,0.980,4681
220,James Wiseman,2020-21,53,2.935,52,1.038,1806
221,Brook Lopez,2018-19,53,0.906,49,0.551,5853
222,Nerlens Noel,2020-21,53,1.635,52,0.865,3241
223,Jaren Jackson Jr.,2019-20,53,1.528,50,0.840,3469
224,Bobby Portis,2017-18,53,1.586,50,1.340,3342
225,Harry Giles III,2018-19,52,2.930,50,0.980,1775
226,Thomas Robinson,2016-17,52,4.626,51,0.824,1124
227,Andrew Bogut,2015-16,52,1.399,51,0.686,3716
228,Domantas Sabonis,2018-19,52,1.334,47,0.745,3899
229,JJ Hickson,2013-14,52,1.386,48,0.917,3751
230,Enes Freedom,2016-17,52,1.666,49,1.122,3122
231,Maxi Kleber,2020-21,52,1.687,48,1.104,3082
232,Jerami Grant,2018-19,52,0.882,49,0.960,5895
233,Daniel Theis,2019-20,52,1.253,49,0.816,4150
234,Kyle O'Quinn,2016-17,52,2.159,48,1.125,2409
235,Dwight Powell,2020-21,52,2.543,48,0.646,2045
236,Nikola Jokic,2015-16,52,1.527,52,1.038,3405
237,Kristaps Porzingis,2016-17,51,1.184,48,0.646,4309
238,DeMarcus Cousins,2015-16,51,1.100,49,0.490,4636
239,Marreese Speights,2016-17,51,1.884,50,0.940,2707
240,Mason Plumlee,2016-17,51,1.186,47,0.851,4300
241,Bobby Portis,2019-20,51,1.797,48,0.938,2838
242,Willie Cauley-Stein,2017-18,51,1.266,49,0.714,4027
243,Donatas Motiejunas,2014-15,50,1.265,49,1.143,3953
244,Karl-Anthony Towns,2020-21,50,1.420,49,0.878,3522
245,DeMarcus Cousins,2016-17,50,1.039,47,0.872,4811
246,Rui Hachimura,2019-20,49,1.601,45,1.111,3061
247,Larry Nance Jr.,2016-17,49,1.670,42,1.238,2935
248,Amar'e Stoudemire,2013-14,49,1.825,46,0.891,2685
249,James Harden,2018-19,49,0.740,46,0.674,6618
250,Eric Paschall,2020-21,49,3.363,43,1.163,1457
251,Jakob Poeltl,2020-21,49,1.279,47,0.702,3831
252,Al Horford,2015-16,49,0.823,47,0.702,5952
253,Blake Griffin,2013-14,49,0.742,45,0.915,6600
254,Kelly Olynyk,2016-17,48,1.280,48,1.208,3751
255,JaVale McGee,2016-17,48,2.546,48,1.000,1885
256,Chimezie Metu,2020-21,48,4.729,45,1.200,1015
257,Pascal Siakam,2019-20,48,0.913,47,0.723,5259
258,Kristaps Porzingis,2019-20,48,1.232,47,1.106,3896
259,Ben Simmons,2018-19,48,0.737,45,0.911,6517
260,Kristaps Porzingis,2020-21,48,1.541,46,1.152,3114
261,Larry Nance Jr.,2018-19,48,1.346,44,0.932,3567
262,Jusuf Nurkic,2018-19,47,1.146,41,0.951,4103
263,Nikola Jokic,2016-17,47,1.151,45,0.889,4083
264,Pascal Siakam,2018-19,47,0.672,44,0.795,6993
265,Gorgui Dieng,2020-21,47,4.048,44,0.932,1161
266,Dario Saric,2020-21,47,2.298,43,0.837,2045
267,Draymond Green,2013-14,47,1.177,47,0.766,3994
