,Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total)
189,Kenneth Faried,2018-19,70,61.404,59,0.733,114
190,Dario Saric,2020-21,69,24.555,60,1.050,281
191,Zaza Pachulia,2015-16,69,33.014,61,1.097,209
192,Nick Collison,2013-14,68,19.101,51,0.904,356
193,DeJuan Blair,2013-14,68,42.236,57,1.069,161
194,Jaren Jackson Jr.,2020-21,68,18.329,62,1.032,371
195,Dwight Howard,2015-16,68,19.263,58,1.000,353
196,Anthony Davis,2017-18,67,8.827,59,0.733,759
197,Robin Lopez,2014-15,67,30.317,62,1.048,221
198,Ersan Ilyasova,2014-15,67,24.014,55,0.982,279
199,Marvin Williams,2019-20,66,17.368,61,0.902,380
200,Kevin Seraphin,2014-15,66,45.205,53,0.981,146
201,Glen Davis,2013-14,66,20.755,53,0.764,318
202,Taj Gibson,2014-15,66,12.644,59,1.068,522
203,Anderson Varejao,2015-16,66,35.870,54,0.873,184
204,Tyler Zeller,2014-15,64,36.994,50,0.830,173
205,Clint Capela,2014-15,64,23.616,60,1.000,271
206,Dewayne Dedmon,2016-17,63,32.642,55,1.054,193
207,Rudy Gobert,2018-19,63,20.128,57,1.035,313
208,John Henson,2014-15,63,22.261,52,1.019,283
209,JaVale McGee,2019-20,63,22.993,49,0.918,274
210,Markieff Morris,2019-20,63,8.214,53,0.868,767
211,Jonas Valanciunas,2014-15,63,30.732,58,1.085,205
212,Marreese Speights,2016-17,63,35.393,52,1.000,178
213,Amir Johnson,2014-15,62,28.440,51,0.849,218
214,Domantas Sabonis,2020-21,62,42.177,52,1.000,147
215,Kevon Looney,2017-18,62,7.750,58,0.763,800
216,Brandan Wright,2013-14,62,35.838,55,0.912,173
217,Dwight Howard,2013-14,60,13.636,55,0.655,440
218,Markieff Morris,2017-18,60,16.438,49,1.184,365
219,Boban Marjanovic,2019-20,60,35.294,56,0.897,170
220,Al Jefferson,2013-14,59,29.500,49,0.900,200
221,John Collins,2020-21,57,4.918,49,1.100,1159
222,Zaza Pachulia,2014-15,57,22.441,49,0.600,254
223,Cole Aldrich,2015-16,57,38.255,47,1.000,149
224,John Henson,2017-18,57,40.426,50,0.745,141
225,Justise Winslow,2015-16,56,9.150,46,0.553,612
226,Kristaps Porzingis,2019-20,55,26.829,51,1.058,205
227,Giannis Antetokounmpo,2019-20,55,9.516,45,1.083,578
228,Ian Mahinmi,2017-18,54,51.923,46,0.792,104
229,Enes Freedom,2016-17,53,55.789,49,1.020,95
230,Kristaps Porzingis,2020-21,52,11.712,43,0.773,444
231,JaVale McGee,2017-18,51,16.399,38,1.128,311
232,Jared Sullinger,2014-15,51,32.075,43,0.682,159
233,Grant Williams,2019-20,51,15.000,47,0.617,340
234,Greg Monroe,2017-18,51,25.000,45,1.239,204
235,Maxi Kleber,2019-20,51,11.888,46,1.261,429
236,Robert Williams III,2019-20,51,16.887,44,0.822,302
237,LaMarcus Aldridge,2015-16,50,7.740,43,0.884,646
238,Carlos Boozer,2013-14,50,23.364,42,0.773,214
239,Aron Baynes,2018-19,49,20.417,39,0.692,240
240,DeMarcus Cousins,2020-21,49,41.880,44,0.955,117
241,Dario Saric,2017-18,49,7.391,47,1.000,663
242,Thon Maker,2016-17,48,21.145,40,1.050,227
243,Serge Ibaka,2015-16,48,4.007,45,1.022,1198
244,Amir Johnson,2015-16,48,18.391,39,0.564,261
245,Patrick Patterson,2017-18,48,40.336,41,1.024,119
246,Jerami Grant,2017-18,48,17.978,43,0.721,267
247,Alex Len,2020-21,48,33.103,40,1.075,145
248,Kevin Durant,2013-14,47,2.997,41,0.927,1568
249,Jarrett Allen,2018-19,47,19.421,41,0.762,242
250,Tyler Zeller,2017-18,47,37.903,36,1.000,124
251,Jonas Valanciunas,2013-14,46,12.813,40,0.975,359
252,Ersan Ilyasova,2017-18,46,9.644,40,0.850,477
253,Markieff Morris,2016-17,45,6.106,43,1.140,737
254,Gorgui Dieng,2017-18,44,31.655,38,1.053,139
255,Chris Kaman,2015-16,44,68.750,34,0.714,64
256,Paul Millsap,2015-16,44,6.069,38,0.526,725
257,Kevon Looney,2020-21,43,48.315,34,1.000,89
258,Zach Randolph,2014-15,43,5.827,34,0.912,738
259,Josh Smith,2014-15,43,5.174,34,0.914,831
260,Aron Baynes,2013-14,43,21.717,37,0.649,198
261,Salah Mejri,2015-16,42,28.378,35,1.083,148
262,Tony Bradley,2019-20,42,46.667,34,0.800,90
263,Frank Kaminsky,2020-21,41,29.710,37,0.892,138
264,Jeff Green,2017-18,41,4.092,39,1.000,1002
265,Timofey Mozgov,2015-16,41,28.873,33,1.000,142
266,Pascal Siakam,2019-20,41,4.910,38,0.605,835
267,David Lee,2016-17,40,8.753,38,1.000,457
268,Amar'e Stoudemire,2014-15,40,25.478,34,0.861,157
269,Jermaine O'Neal,2013-14,40,24.845,33,1.029,161
270,Kosta Koufos,2014-15,40,17.094,33,1.091,234
271,Noah Vonleh,2016-17,39,18.483,36,1.278,211
272,Marreese Speights,2014-15,39,30.709,27,0.741,127
273,Ryan Anderson,2016-17,39,5.991,30,0.563,651
274,Jerami Grant,2018-19,39,10.598,34,0.735,368
275,LaMarcus Aldridge,2017-18,39,11.404,35,1.257,342
276,P.J. Tucker,2017-18,39,3.539,38,0.684,1102
277,Thaddeus Young,2018-19,39,15.294,35,0.806,255
278,Jonas Valanciunas,2019-20,38,51.351,32,0.813,74
279,JaMychal Green,2019-20,38,8.389,28,1.069,453
280,Greg Monroe,2018-19,38,19.689,34,1.147,193
281,Rondae Hollis-Jefferson,2018-19,38,27.143,31,1.125,140
282,Mike Scott,2014-15,37,11.563,30,0.903,320
283,Thomas Robinson,2013-14,37,14.919,31,0.839,248
284,Terrence Jones,2014-15,37,4.421,36,1.111,837
285,Jordan Bell,2018-19,36,17.561,33,1.242,205
286,Willie Cauley-Stein,2020-21,36,29.032,24,1.160,124
287,Jared Dudley,2014-15,35,16.746,23,0.696,209
288,Tobias Harris,2018-19,35,3.867,32,1.000,905
289,Tristan Thompson,2020-21,35,10.802,28,0.793,324
290,Harrison Barnes,2015-16,34,2.293,29,0.533,1483
291,Derrick Favors,2018-19,34,16.585,25,0.680,205
292,Harrison Barnes,2014-15,34,2.545,28,0.679,1336
293,Spencer Hawes,2015-16,33,30.841,29,0.733,107
294,Mason Plumlee,2014-15,33,31.731,27,0.630,104
295,Marcus Morris Sr.,2018-19,33,6.358,27,0.815,519
296,Nic Claxton,2020-21,33,12.840,28,0.828,257
297,Omer Asik,2013-14,32,10.492,28,1.069,305
298,Danilo Gallinari,2020-21,32,3.604,28,1.000,888
299,Jaylen Brown,2019-20,32,2.406,27,0.786,1330
300,Anthony Davis,2020-21,32,8.743,28,0.893,366
301,Patrick Patterson,2015-16,32,2.988,26,0.885,1071
302,Enes Freedom,2020-21,31,29.524,26,1.154,105
303,Hassan Whiteside,2019-20,31,12.400,27,0.778,250
304,Ryan Anderson,2014-15,31,16.578,28,0.379,187
305,Amir Johnson,2017-18,31,15.979,24,0.640,194
306,Jared Sullinger,2015-16,31,18.902,27,1.111,164
307,Aron Baynes,2015-16,31,36.905,24,1.179,84
308,Tyler Hansbrough,2014-15,31,34.831,26,0.731,89
309,Pero Antic,2013-14,31,9.904,27,0.481,313
310,Xavier Tillman,2020-21,31,28.972,29,1.345,107
311,Mirza Teletovic,2013-14,31,8.073,23,0.609,384
312,Khem Birch,2018-19,31,16.940,22,0.773,183
313,Jarrett Allen,2019-20,30,10.949,26,1.269,274
314,Kevin Durant,2020-21,30,3.074,28,0.643,976
315,Myles Turner,2017-18,30,8.000,22,1.045,375
316,Taj Gibson,2013-14,30,11.070,24,0.640,271
317,Blake Griffin,2013-14,29,3.082,25,1.160,941
318,Luis Scola,2013-14,29,6.502,26,0.808,446
319,Boris Diaw,2016-17,29,7.632,27,0.926,380
320,  Nene,2018-19,29,28.155,24,1.040,103
321,OG Anunoby,2019-20,29,3.671,26,0.692,790
322,Drew Gooden,2014-15,28,7.932,26,0.852,353
323,Montrezl Harrell,2018-19,28,8.309,25,1.308,337
324,LeBron James,2014-15,28,1.771,25,1.320,1581
325,Jae Crowder,2020-21,28,1.932,25,1.120,1449
326,Trevor Ariza,2020-21,27,13.300,23,0.652,203
327,Omer Asik,2014-15,27,18.121,25,0.960,149
328,Paul George,2020-21,27,1.801,24,0.833,1499
329,Jakob Poeltl,2020-21,27,40.299,22,1.000,67
330,Jeff Ayres,2013-14,26,21.488,20,0.955,121
331,Chris Kaman,2014-15,26,37.143,24,1.083,70
332,Jason Smith,2016-17,26,8.125,23,1.087,320
333,D.J. Wilson,2018-19,26,28.889,24,0.958,90
334,Cristiano Felicio,2016-17,26,15.476,22,1.000,168
335,P.J. Tucker,2018-19,25,2.941,23,0.625,850
336,Ed Davis,2018-19,25,30.120,22,0.682,83
337,Elton Brand,2013-14,24,15.190,19,0.737,158
338,Andre Drummond,2018-19,24,9.125,21,1.381,263
339,Bismack Biyombo,2013-14,24,27.586,22,0.913,87
