Season,Team,Point Diff Rank,Point Diff,W,L,Win%,Exp W82,Exp W,Win Diff Rank,Win Diff,Offense Rank,Offense,Defense Rank,Defense,Spread Diff Rank,Spread Diff
2019-20,Philadelphia 76ers,8,2.6,43,30,58.90%,47.8,42.6,14,0.4,12,111.9,8,109.3,19,-0.5
2019-20,Brooklyn Nets,15,-0.4,35,37,48.60%,40,35.1,18,-0.1,22,109.4,9,109.8,10,0.8
2019-20,Miami Heat,7,3.1,44,29,60.30%,48.9,43.5,13,0.5,7,112.9,10,109.8,9,0.8
2019-20,Orlando Magic,16,-0.5,33,40,45.20%,39.8,35.4,23,-2.4,21,109.4,11,109.8,18,-0.5
2019-20,Chicago Bulls,22,-3.3,22,43,33.80%,32.4,25.7,25,-3.7,28,106.6,12,109.9,21,-1
2019-20,Utah Jazz,9,2.5,44,28,61.10%,47.3,41.6,8,2.4,11,112.4,13,109.9,29,-1.9
2019-20,Memphis Grizzlies,20,-1.1,34,39,46.60%,38.3,34.1,16,-0.1,23,109.3,14,110.3,3,2.2
2019-20,Houston Rockets,10,2.4,44,28,61.10%,47.1,41.4,7,2.6,8,112.8,15,110.4,28,-1.9
2019-20,Denver Nuggets,13,2,46,27,63.00%,46,41,1,5,5,113.1,16,111.1,25,-1.1
2019-20,Phoenix Suns,14,0.1,34,39,46.60%,41.2,36.7,24,-2.7,13,111.8,17,111.8,6,1.3
2019-20,Dallas Mavericks,6,4.6,43,32,57.30%,52.3,47.9,29,-4.9,1,116.7,18,112.1,4,2.1
2019-20,New Orleans Pelicans,18,-0.9,30,42,41.70%,38.7,34,27,-4,14,111.5,19,112.4,16,-0.4
2019-20,Minnesota Timberwolves,24,-4.5,19,45,29.70%,29.6,23.1,28,-4.1,24,108.1,20,112.6,27,-1.4
2019-20,Sacramento Kings,21,-2.9,31,41,43.10%,33.5,29.4,10,1.6,19,109.8,21,112.7,12,-0.1
2019-20,Detroit Pistons,23,-3.5,20,46,30.30%,32.1,25.8,30,-5.8,20,109.5,22,113,14,-0.4
2019-20,San Antonio Spurs,17,-0.7,32,39,45.10%,39.2,34,22,-2,9,112.5,23,113.2,13,-0.3
2019-20,New York Knicks,26,-6.7,21,45,31.80%,24.5,19.7,12,1.3,29,106.5,24,113.2,23,-1
2019-20,Charlotte Hornets,27,-7.2,23,42,35.40%,23.5,18.7,2,4.3,27,106.7,25,113.8,17,-0.5
2019-20,Golden State Warriors,30,-9.4,15,50,23.10%,19,15.1,17,-0.1,30,104.9,26,114.3,26,-1.3
2019-20,Portland Trail Blazers,19,-0.9,35,39,47.30%,38.7,34.9,15,0.1,3,114,27,114.9,24,-1
2019-20,Atlanta Hawks,28,-7.9,20,47,29.90%,22.2,18.1,9,1.9,26,107.4,28,115.3,30,-2.6
2019-20,Cleveland Cavaliers,29,-7.9,19,46,29.20%,22.1,17.5,11,1.5,25,107.5,29,115.4,22,-1
