,Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total)
429,JJ Hickson,2014-15,620,21.994,521,0.841,2819
430,Tarik Black,2016-17,618,27.863,543,0.811,2218
431,Draymond Green,2020-21,618,14.039,532,0.933,4402
432,Cristiano Felicio,2016-17,617,27.856,525,1.013,2215
433,Draymond Green,2015-16,615,8.047,537,0.891,7643
434,Robert Sacre,2014-15,614,27.922,521,0.873,2199
435,Kelly Olynyk,2014-15,613,21.174,525,0.792,2895
436,Dirk Nowitzki,2016-17,612,22.575,520,0.943,2711
437,Richaun Holmes,2016-17,611,24.797,528,0.942,2464
438,Joakim Noah,2016-17,610,30.228,529,0.946,2018
439,Kevin Love,2016-17,608,12.365,528,0.862,4917
440,Gorgui Dieng,2017-18,607,21.479,513,1.023,2826
441,Draymond Green,2014-15,607,9.117,517,0.837,6658
442,JaVale McGee,2016-17,607,32.202,539,0.921,1885
443,Spencer Hawes,2015-16,601,27.824,514,0.802,2160
444,Thaddeus Young,2020-21,600,17.916,518,1.032,3349
445,Nerlens Noel,2016-17,599,28.674,517,0.914,2089
446,  Nene,2014-15,598,15.879,505,0.879,3766
447,Dewayne Dedmon,2017-18,598,19.472,515,0.987,3071
448,Pero Antic,2014-15,597,24.427,523,0.897,2444
449,Damian Jones,2019-20,590,31.350,525,1.041,1882
450,Marreese Speights,2015-16,590,28.475,505,0.930,2072
451,Mo Bamba,2019-20,590,33.333,507,0.799,1770
452,Jahlil Okafor,2018-19,589,29.883,506,1.010,1971
453,Tyler Hansbrough,2014-15,588,28.013,500,0.836,2099
454,Greg Stiemsma,2013-14,588,30.850,495,0.836,1906
455,Zach Collins,2018-19,586,17.806,498,0.976,3291
456,LaMarcus Aldridge,2014-15,584,11.054,508,0.764,5283
457,Chris Boucher,2020-21,584,19.703,501,0.956,2964
458,Patrick Patterson,2017-18,584,23.323,483,0.963,2504
459,Jared Sullinger,2014-15,581,17.899,503,0.864,3246
460,Cole Aldrich,2014-15,581,31.923,510,0.965,1820
461,Salah Mejri,2016-17,580,34.710,491,0.972,1671
462,Dirk Nowitzki,2014-15,580,12.076,511,0.934,4803
463,Kevin Garnett,2013-14,579,23.441,459,0.801,2470
464,Deyonta Davis,2017-18,578,30.453,482,0.931,1898
465,Tyler Zeller,2013-14,575,28.381,515,0.888,2026
466,Amar'e Stoudemire,2015-16,574,35.043,504,0.914,1638
467,LaMarcus Aldridge,2013-14,573,9.929,491,0.912,5771
468,Montrezl Harrell,2017-18,572,21.407,489,0.749,2672
469,Harry Giles III,2018-19,571,32.169,479,0.992,1775
470,Ersan Ilyasova,2018-19,570,17.936,475,0.867,3178
471,Lucas Nogueira,2016-17,570,27.040,458,0.852,2108
472,Eric Moreland,2017-18,568,36.457,470,0.805,1558
473,Cristiano Felicio,2018-19,567,37.303,480,0.940,1520
474,James Wiseman,2020-21,566,31.340,486,0.994,1806
475,Alexis Ajinca,2013-14,566,31.410,471,0.959,1802
476,Markieff Morris,2014-15,565,11.033,475,0.788,5121
477,Channing Frye,2013-14,565,12.420,498,0.908,4549
478,  Nene,2013-14,560,15.461,467,0.941,3622
479,Maxi Kleber,2019-20,559,13.015,484,0.934,4295
480,Mo Bamba,2018-19,557,37.258,461,0.900,1495
481,Bismack Biyombo,2018-19,553,34.978,480,1.010,1581
