Defensive Team,Season,Picks,Picks Per 100 Possessions,Direct Picks,Points Per Chance,Points Per Direct
New York Knicks,2020-21,586,8.489,378,0.926,1.035
Memphis Grizzlies,2018-19,580,7.312,354,0.944,0.979
Indiana Pacers,2018-19,578,7.243,381,0.837,0.897
Miami Heat,2018-19,560,7.004,311,0.879,0.872
Cleveland Cavaliers,2020-21,558,7.935,367,1.059,0.969
Utah Jazz,2020-21,550,7.741,358,0.926,0.949
Utah Jazz,2018-19,548,6.854,333,0.979,0.994
Oklahoma City Thunder,2020-21,548,7.562,351,0.909,0.919
Detroit Pistons,2019-20,547,8.658,345,0.998,1.006
Detroit Pistons,2017-18,546,6.956,311,0.805,0.819
Detroit Pistons,2018-19,530,6.637,359,0.967,0.977
Indiana Pacers,2017-18,528,6.930,335,0.972,0.994
Philadelphia 76ers,2019-20,524,7.293,366,0.956,0.986
Minnesota Timberwolves,2018-19,519,6.318,334,0.896,0.905
Philadelphia 76ers,2020-21,494,6.888,326,0.843,0.833
Cleveland Cavaliers,2019-20,493,7.686,312,0.940,0.942
Sacramento Kings,2017-18,478,6.181,308,0.830,0.760
Indiana Pacers,2019-20,475,6.580,311,0.796,0.815
Minnesota Timberwolves,2017-18,465,5.930,293,0.859,0.915
New York Knicks,2017-18,457,5.902,285,0.877,0.843
Miami Heat,2017-18,444,5.721,275,0.965,0.925
Brooklyn Nets,2018-19,407,4.875,263,0.948,0.934
Milwaukee Bucks,2018-19,398,4.718,252,0.812,0.846
Brooklyn Nets,2017-18,364,4.808,251,0.895,0.926
Orlando Magic,2020-21,338,4.777,207,1.107,1.214
Chicago Bulls,2020-21,336,4.724,222,0.968,1.023
Orlando Magic,2018-19,315,4.018,194,0.982,0.969
Chicago Bulls,2019-20,310,4.784,193,0.996,1.038
Charlotte Hornets,2017-18,302,3.781,191,0.924,1.032
Milwaukee Bucks,2019-20,300,3.970,168,0.925,0.962
Atlanta Hawks,2017-18,233,3.084,126,1.020,1.098
Orlando Magic,2019-20,222,3.097,116,0.932,0.939
