Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total),SSI Player ID
Tiago Splitter,2013-14,639,25.632,543,0.841,2493,ff427ab3-89ef-11e6-9d30-a45e60e298d3
Jared Sullinger,2014-15,639,20.720,549,0.866,3084,ff424e40-89ef-11e6-b8eb-a45e60e298d3
Joakim Noah,2016-17,636,31.579,548,0.955,2014,ff42bcf5-89ef-11e6-afa7-a45e60e298d3
Robert Williams III,2020-21,636,31.992,527,0.983,1988,79b83f96-5723-4219-b521-57de6111ee97
Jahlil Okafor,2018-19,633,32.116,546,1.004,1971,ff427168-89ef-11e6-9b14-a45e60e298d3
Alexis Ajinca,2013-14,629,35.437,514,0.960,1775,ff424ec0-89ef-11e6-8c87-a45e60e298d3
Cole Aldrich,2014-15,627,34.507,541,0.955,1817,ff424c42-89ef-11e6-abc4-a45e60e298d3
David West,2016-17,625,37.380,530,0.866,1672,ff42cc75-89ef-11e6-a9c8-a45e60e298d3
Al Horford,2013-14,624,34.323,502,0.900,1818,ff427c2e-89ef-11e6-8d2a-a45e60e298d3
Tyler Hansbrough,2014-15,623,30.995,515,0.851,2010,ff42870a-89ef-11e6-ae3c-a45e60e298d3
Markieff Morris,2013-14,623,14.879,487,0.873,4187,ff41cb11-89ef-11e6-8285-a45e60e298d3
Taj Gibson,2021-22,622,33.549,519,0.853,1854,ff42877a-89ef-11e6-a6cd-a45e60e298d3
Daniel Gafford,2020-21,621,36.724,536,0.941,1691,d43adb9a-00c2-4720-b256-54b9ef1a890e
Robert Sacre,2013-14,621,28.049,510,0.766,2214,ff42242e-89ef-11e6-b859-a45e60e298d3
Nick Collison,2013-14,620,23.975,470,0.769,2586,ff42462b-89ef-11e6-a23e-a45e60e298d3
Mitchell Robinson,2020-21,616,36.710,520,0.925,1678,1df5e769-640e-4589-b879-cd4e2885eaf1
Isaiah Roby,2021-22,616,31.349,544,0.945,1965,19602b62-cfbe-4d35-81f5-bc244327960e
Christian Wood,2020-21,615,22.186,540,0.900,2772,ff4290f8-89ef-11e6-8dd1-a45e60e298d3
Salah Mejri,2016-17,613,36.685,521,0.956,1671,ff41be94-89ef-11e6-9db7-a45e60e298d3
Willie Cauley-Stein,2020-21,611,33.443,528,0.974,1827,ff402fd4-89ef-11e6-b6dd-a45e60e298d3
  Nene,2014-15,610,18.649,502,0.930,3271,ff4295ee-89ef-11e6-8d6a-a45e60e298d3
Gorgui Dieng,2017-18,610,22.744,510,1.006,2682,ff42d4e6-89ef-11e6-b14e-a45e60e298d3
Lucas Nogueira,2016-17,609,29.041,486,0.844,2097,ff4147e8-89ef-11e6-a064-a45e60e298d3
Deyonta Davis,2017-18,608,32.883,508,0.921,1849,d61c82b0-75ce-417b-9d4e-d5df88de28e1
Anthony Davis,2013-14,608,13.568,500,0.887,4481,ff41df59-89ef-11e6-810a-a45e60e298d3
Jeremiah Robinson-Earl,2021-22,607,27.454,499,1.105,2211,1a9ac6bd-8b02-4fe8-8096-c435a2a90100
Jason Smith,2015-16,606,26.509,519,0.831,2286,ff42bb1c-89ef-11e6-91a1-a45e60e298d3
Willy Hernangomez,2018-19,606,35.794,515,1.042,1693,cc8b058c-1df3-4fb6-9c8c-69bfbcdb9c6d
Kevin Garnett,2013-14,602,30.496,457,0.849,1974,ff4117d1-89ef-11e6-8bd5-a45e60e298d3
Jusuf Nurkic,2020-21,602,32.682,490,0.909,1842,ff42622b-89ef-11e6-9088-a45e60e298d3
Moses Brown,2020-21,601,30.663,516,1.017,1960,81ca845d-dae4-46b5-89e6-86d619acb3c8
Montrezl Harrell,2017-18,601,22.611,511,0.746,2658,ff42b4e8-89ef-11e6-a75d-a45e60e298d3
Alexis Ajinca,2015-16,600,34.924,496,0.885,1718,ff424ec0-89ef-11e6-8c87-a45e60e298d3
Eric Moreland,2017-18,598,38.383,490,0.817,1558,ff414c00-89ef-11e6-9707-a45e60e298d3
Kenneth Faried,2014-15,598,14.479,503,0.898,4130,ff413559-89ef-11e6-9991-a45e60e298d3
Damian Jones,2021-22,595,28.800,500,0.904,2066,ff42a38f-89ef-11e6-bb34-a45e60e298d3
