Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total),SSI Player ID
Myles Turner,2018-19,83,1.832,78,0.936,4530,ff41bc78-89ef-11e6-a5bf-a45e60e298d3
Isaiah Hartenstein,2018-19,83,18.122,78,0.897,458,370d6957-0b6e-490c-a4c0-73650617fd7b
Marcin Gortat,2017-18,83,1.870,78,0.974,4439,ff4206b0-89ef-11e6-a91d-a45e60e298d3
Daniel Theis,2021-22,83,3.427,78,0.949,2422,64c01255-432f-4e9b-a475-6f8c38e8e882
Nerlens Noel,2014-15,83,1.823,76,0.883,4553,ff41260a-89ef-11e6-a369-a45e60e298d3
Dwight Howard,2015-16,82,1.678,79,0.886,4887,ff418bd7-89ef-11e6-9e3d-a45e60e298d3
Miles Bridges,2021-22,82,1.388,79,1.089,5907,b9a042ea-bb42-499a-af74-746d6f8c029a
Pau Gasol,2016-17,82,2.173,75,1.000,3774,ff4292c5-89ef-11e6-9469-a45e60e298d3
Nikola Jokic,2019-20,81,1.360,76,0.816,5958,ff41306e-89ef-11e6-8903-a45e60e298d3
Tristan Thompson,2014-15,81,1.475,74,0.919,5491,ff41f1fa-89ef-11e6-a048-a45e60e298d3
Al Horford,2017-18,80,1.448,76,1.118,5525,ff427c2e-89ef-11e6-8d2a-a45e60e298d3
Johnathan Williams,2018-19,80,10.417,75,1.079,768,ee0567b1-5418-45ca-93fc-4f790b5a1712
Mason Plumlee,2017-18,80,2.779,75,1.040,2879,ff42c76e-89ef-11e6-a19d-a45e60e298d3
Maxi Kleber,2017-18,80,3.406,77,0.896,2349,d6b3074b-83cc-4284-a649-8c9459d88626
Taj Gibson,2019-20,79,3.826,74,0.986,2065,ff42877a-89ef-11e6-a6cd-a45e60e298d3
P.J. Tucker,2020-21,79,1.878,74,1.108,4206,ff41362b-89ef-11e6-babd-a45e60e298d3
Nicolas Batum,2020-21,78,1.639,71,1.211,4758,ff4239f0-89ef-11e6-a24c-a45e60e298d3
Jae'Sean Tate,2020-21,78,1.834,74,0.946,4253,80383c81-b671-4a11-b003-ae08fba34eb8
Khem Birch,2021-22,78,3.770,74,0.947,2069,57554ed9-0c8b-44cc-9673-827e94e5239f
Marvin Williams,2018-19,78,1.800,73,1.027,4333,ff411c78-89ef-11e6-a99e-a45e60e298d3
Deandre Ayton,2018-19,76,1.682,73,0.781,4518,cc834b28-2371-40e2-a29e-68e58259ed63
Damian Jones,2018-19,76,8.868,68,1.059,857,ff42a38f-89ef-11e6-bb34-a45e60e298d3
Thon Maker,2017-18,75,2.866,72,0.931,2617,a431a70a-8e7e-48f3-bc85-a21fd0e7918b
Anthony Davis,2019-20,75,1.246,73,0.973,6017,ff41df59-89ef-11e6-810a-a45e60e298d3
Blake Griffin,2021-22,74,3.645,72,0.764,2030,ff41ff8a-89ef-11e6-95d3-a45e60e298d3
Terrence Jones,2013-14,74,1.719,68,0.735,4304,ff4141c5-89ef-11e6-bcb1-a45e60e298d3
