Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total),SSI Player ID
Markieff Morris,2016-17,5,0.678,5,1.400,737,ff41cb11-89ef-11e6-8285-a45e60e298d3
James Harden,2020-21,5,0.803,5,0.600,623,ff42a0d4-89ef-11e6-9944-a45e60e298d3
Georges Niang,2021-22,5,1.312,4,2.500,381,50996799-4e5d-4748-aa34-1d82c22a2151
John Collins,2020-21,5,0.431,5,1.200,1159,b4c77ef1-d34b-4911-9114-1f7e0f3aca68
Steven Adams,2021-22,5,2.119,5,1.000,236,ff420623-89ef-11e6-9b37-a45e60e298d3
Zach Randolph,2016-17,5,1.515,4,1.000,330,ff423145-89ef-11e6-8a8a-a45e60e298d3
Andrei Kirilenko,2013-14,5,1.946,5,1.000,257,ff410dc7-89ef-11e6-898a-a45e60e298d3
James Harden,2021-22,5,0.553,4,1.000,904,ff42a0d4-89ef-11e6-9944-a45e60e298d3
Miles Bridges,2021-22,5,7.937,5,1.200,63,b9a042ea-bb42-499a-af74-746d6f8c029a
Davis Bertans,2021-22,5,1.333,5,0.400,375,ff42a38f-89ef-11e6-bb57-a45e60e298d3
DeMarcus Cousins,2020-21,5,4.274,4,0.500,117,ff41c6d1-89ef-11e6-a1ca-a45e60e298d3
