,Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total)
329,Willie Cauley-Stein,2015-16,37,1.290,35,0.629,2868
330,Naz Reid,2020-21,37,1.307,35,1.000,2831
331,Rudy Gobert,2016-17,37,0.719,36,0.944,5148
332,Spencer Hawes,2013-14,37,0.742,35,1.171,4987
333,Brook Lopez,2018-19,37,0.748,34,0.471,4948
334,Tim Duncan,2015-16,37,1.254,37,0.622,2950
335,Jakob Poeltl,2018-19,37,1.415,34,0.824,2615
336,Dragan Bender,2017-18,37,0.861,35,0.861,4297
337,Marvin Bagley III,2018-19,36,1.082,35,1.057,3328
338,Robert Williams III,2020-21,36,1.811,34,1.059,1988
339,Dwight Powell,2019-20,36,1.727,34,1.118,2084
340,Steven Adams,2020-21,36,1.107,35,1.314,3253
341,Marcin Gortat,2015-16,36,0.789,34,0.765,4565
342,Kenneth Faried,2013-14,36,0.811,34,1.029,4439
343,Richaun Holmes,2017-18,36,2.351,35,1.229,1531
344,Pascal Siakam,2019-20,36,0.814,35,0.743,4424
345,Myles Turner,2019-20,36,0.976,36,0.611,3690
346,Nerlens Noel,2015-16,36,0.910,34,0.853,3956
347,LaMarcus Aldridge,2018-19,36,0.664,34,0.824,5424
348,DeMarcus Cousins,2020-21,36,2.436,35,0.771,1478
349,Harry Giles III,2019-20,36,2.590,36,1.250,1390
350,Draymond Green,2019-20,36,1.398,35,1.171,2575
351,Greg Monroe,2016-17,36,1.003,35,0.914,3589
352,Cristiano Felicio,2016-17,36,1.759,32,1.188,2047
353,Kenyon Martin Jr.,2020-21,35,1.558,34,0.971,2246
354,Kevin Love,2015-16,35,0.754,35,1.000,4640
355,Pascal Siakam,2020-21,35,0.856,31,0.774,4088
356,Karl-Anthony Towns,2015-16,35,0.671,32,0.969,5213
357,Domantas Sabonis,2018-19,35,0.942,32,0.688,3716
358,Josh Smith,2015-16,35,1.956,34,0.824,1789
359,Jalen McDaniels,2020-21,35,1.926,33,0.879,1817
360,Daniel Theis,2019-20,35,1.095,33,0.848,3197
361,DeMarcus Cousins,2017-18,35,0.993,32,0.969,3524
362,Kyle O'Quinn,2017-18,35,1.286,29,1.000,2722
363,Jaylen Hoard,2020-21,35,5.216,31,1.097,671
364,Aron Baynes,2019-20,35,1.817,34,1.294,1926
365,Kenneth Faried,2017-18,35,3.796,31,1.129,922
366,James Michael McAdoo,2016-17,35,3.780,31,0.484,926
367,James Harden,2020-21,35,1.068,33,1.030,3277
368,Steven Adams,2014-15,35,1.013,34,0.735,3454
369,Reggie Perry,2020-21,35,8.028,34,0.765,436
370,JaVale McGee,2019-20,34,1.443,33,0.970,2356
371,Jon Leuer,2016-17,34,0.889,31,1.129,3824
372,Serge Ibaka,2016-17,34,0.713,32,0.750,4768
373,Kevin Love,2019-20,34,0.939,31,1.065,3621
374,Rondae Hollis-Jefferson,2019-20,34,1.460,30,1.433,2329
375,Thaddeus Young,2013-14,34,0.611,31,0.903,5563
376,Jabari Parker,2018-19,34,0.948,31,0.839,3588
377,Anderson Varejao,2015-16,34,3.480,32,1.313,977
378,Isaiah Hartenstein,2019-20,34,5.944,33,0.970,572
379,Jerami Grant,2019-20,34,0.887,30,0.733,3832
380,Gorgui Dieng,2019-20,34,1.469,32,0.906,2315
381,Derrick Favors,2018-19,34,0.941,29,0.931,3615
382,Joakim Noah,2018-19,33,2.337,31,0.516,1412
383,Andre Drummond,2020-21,33,1.319,28,0.821,2501
384,Paul Millsap,2018-19,33,0.861,31,0.774,3831
385,John Collins,2018-19,33,0.843,32,1.094,3916
386,Gorgui Dieng,2015-16,33,0.758,33,0.879,4351
387,Pau Gasol,2015-16,33,0.726,32,0.813,4543
388,Kevon Looney,2016-17,33,3.599,31,1.032,917
