,Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total)
176,Zaza Pachulia,2014-15,1007,30.654,847,0.831,3285
177,Jusuf Nurkic,2016-17,1006,36.161,876,0.945,2782
178,Serge Ibaka,2019-20,1004,32.429,856,0.900,3096
179,Bismack Biyombo,2017-18,998,33.322,843,0.943,2995
180,Alex Len,2016-17,997,31.274,857,0.927,3188
181,Tyler Zeller,2014-15,994,28.637,876,0.861,3471
182,Hassan Whiteside,2017-18,994,36.224,850,0.925,2744
183,Aron Baynes,2017-18,993,35.175,878,0.841,2823
184,Clint Capela,2016-17,992,31.224,863,0.997,3177
185,Mitchell Robinson,2019-20,992,34.113,852,0.920,2908
186,Timofey Mozgov,2013-14,992,27.609,853,0.859,3593
187,Zaza Pachulia,2015-16,983,25.519,841,0.859,3852
188,Al Horford,2019-20,982,23.572,843,0.927,4166
189,Miles Plumlee,2013-14,980,25.271,844,0.859,3878
190,Ed Davis,2018-19,979,32.775,825,0.920,2987
191,Myles Turner,2020-21,977,32.578,847,0.880,2999
192,Pau Gasol,2016-17,971,31.536,840,0.929,3079
193,Domantas Sabonis,2019-20,967,22.209,807,0.938,4354
194,Andrew Bogut,2013-14,965,27.674,812,0.826,3487
195,Cody Zeller,2015-16,962,27.361,830,0.858,3516
196,DeAndre Jordan,2020-21,961,37.320,850,0.971,2575
197,Kyle O'Quinn,2017-18,959,35.231,795,0.940,2722
198,Thon Maker,2017-18,957,39.677,776,0.965,2412
199,DeAndre Jordan,2019-20,954,36.791,817,0.908,2593
200,Jakob Poeltl,2017-18,953,31.287,801,0.914,3046
201,Nikola Vucevic,2013-14,949,26.983,817,0.966,3517
202,Nikola Pekovic,2013-14,946,28.105,821,0.886,3366
203,Cody Zeller,2019-20,946,36.343,802,1.039,2603
204,Gorgui Dieng,2015-16,942,21.650,812,0.920,4351
205,Richaun Holmes,2019-20,940,37.525,769,0.988,2505
206,Dwight Howard,2019-20,937,35.226,773,0.952,2660
207,Alex Len,2014-15,937,30.511,818,0.876,3071
208,Kevin Love,2017-18,936,28.244,802,0.982,3314
209,Dwight Howard,2020-21,933,38.160,761,0.927,2445
210,Wendell Carter Jr.,2019-20,932,35.985,754,0.927,2590
211,Richaun Holmes,2018-19,931,38.124,778,0.928,2442
212,Joakim Noah,2013-14,929,17.835,810,0.758,5209
213,Bam Adebayo,2019-20,927,19.200,789,0.997,4828
214,Kosta Koufos,2017-18,926,34.271,760,0.971,2702
215,Domantas Sabonis,2020-21,921,19.705,782,0.956,4674
216,Clint Capela,2019-20,921,33.724,779,0.943,2731
217,Bobby Portis,2020-21,920,31.572,775,0.939,2914
218,Cody Zeller,2018-19,917,35.961,781,0.957,2550
219,Jonas Valanciunas,2018-19,915,40.576,776,0.973,2255
220,Karl-Anthony Towns,2019-20,905,35.884,753,1.004,2522
221,Kosta Koufos,2016-17,903,32.741,755,0.960,2758
222,Willie Cauley-Stein,2017-18,897,22.275,745,0.962,4027
223,Tristan Thompson,2015-16,897,20.433,780,0.944,4390
224,Alex Len,2020-21,897,41.935,772,0.977,2139
225,  Nene,2016-17,896,35.443,761,0.944,2528
226,Mason Plumlee,2018-19,895,25.696,765,0.889,3483
227,Nikola Jokic,2015-16,894,26.256,781,0.903,3405
228,Jonas Valanciunas,2015-16,887,30.325,776,0.959,2925
