Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total),SSI Player ID
David Lee,2013-14,113,26.588,95,0.916,425,ff41bc0a-89ef-11e6-8b1d-a45e60e298d3
Kevon Looney,2021-22,113,12.626,102,0.804,895,ff4170c2-89ef-11e6-83e1-a45e60e298d3
Thon Maker,2017-18,113,46.888,92,0.839,241,a431a70a-8e7e-48f3-bc85-a21fd0e7918b
Al Horford,2017-18,113,8.679,100,0.870,1302,ff427c2e-89ef-11e6-8d2a-a45e60e298d3
Andre Drummond,2020-21,113,45.935,90,0.901,246,ff415268-89ef-11e6-a137-a45e60e298d3
Udonis Haslem,2015-16,112,69.136,84,1.082,162,ff413211-89ef-11e6-8e43-a45e60e298d3
Derrick Favors,2020-21,112,37.584,92,1.117,298,ff4036a1-89ef-11e6-a631-a45e60e298d3
Marc Gasol,2016-17,111,26.056,96,0.938,426,ff420730-89ef-11e6-bafd-a45e60e298d3
Mason Plumlee,2019-20,110,26.066,93,1.054,422,ff42c76e-89ef-11e6-a19d-a45e60e298d3
Blake Griffin,2014-15,110,9.743,93,0.809,1129,ff41ff8a-89ef-11e6-95d3-a45e60e298d3
Serge Ibaka,2016-17,109,18.761,91,1.055,581,ff41e09c-89ef-11e6-a26f-a45e60e298d3
  Nene,2013-14,109,18.537,91,0.761,588,ff4295ee-89ef-11e6-8d6a-a45e60e298d3
Joel Embiid,2019-20,109,38.929,95,1.105,280,ff42281e-89ef-11e6-8097-a45e60e298d3
Mason Plumlee,2013-14,108,52.683,88,1.101,205,ff42c76e-89ef-11e6-a19d-a45e60e298d3
Kevin Love,2016-17,108,9.541,99,0.930,1132,ff42aecf-89ef-11e6-8cb8-a45e60e298d3
Amar'e Stoudemire,2015-16,107,69.481,87,0.977,154,ff4145b8-89ef-11e6-88ee-a45e60e298d3
Mason Plumlee,2018-19,107,24.654,88,1.112,434,ff42c76e-89ef-11e6-a19d-a45e60e298d3
Joakim Noah,2013-14,106,28.495,89,0.924,372,ff42bcf5-89ef-11e6-afa7-a45e60e298d3
Myles Turner,2019-20,105,35.836,89,1.044,293,ff41bc78-89ef-11e6-a5bf-a45e60e298d3
Daniel Gafford,2020-21,104,30.588,94,0.915,340,d43adb9a-00c2-4720-b256-54b9ef1a890e
Jonas Valanciunas,2013-14,103,28.691,86,1.115,359,ff429666-89ef-11e6-a005-a45e60e298d3
Samuel Dalembert,2013-14,103,41.200,89,0.989,250,ff423f8f-89ef-11e6-92d9-a45e60e298d3
Channing Frye,2016-17,102,33.887,88,1.100,301,ff402140-89ef-11e6-aa13-a45e60e298d3
Nick Collison,2013-14,102,28.732,83,0.893,355,ff42462b-89ef-11e6-a23e-a45e60e298d3
Paul Pierce,2013-14,101,15.257,74,0.787,662,ff41a038-89ef-11e6-abdf-a45e60e298d3
Giannis Antetokounmpo,2017-18,101,18.704,89,1.011,540,ff423b75-89ef-11e6-a507-a45e60e298d3
Marc Gasol,2020-21,101,61.585,80,1.099,164,ff420730-89ef-11e6-bafd-a45e60e298d3
Ersan Ilyasova,2018-19,100,17.730,85,0.884,564,ff415e54-89ef-11e6-b695-a45e60e298d3
Glen Davis,2014-15,100,33.333,81,0.831,300,ff415440-89ef-11e6-aac5-a45e60e298d3
JaVale McGee,2016-17,100,31.546,87,0.943,317,ff41d4eb-89ef-11e6-8055-a45e60e298d3
Zach Randolph,2016-17,99,30.000,86,0.919,330,ff423145-89ef-11e6-8a8a-a45e60e298d3
Paul Millsap,2014-15,98,8.909,84,0.753,1100,ff415538-89ef-11e6-9b07-a45e60e298d3
David West,2017-18,98,28.161,85,0.953,348,ff42cc75-89ef-11e6-a9c8-a45e60e298d3
LaMarcus Aldridge,2015-16,97,15.015,83,0.892,646,ff4291dc-89ef-11e6-8416-a45e60e298d3
Robin Lopez,2020-21,96,46.154,76,0.896,208,ff425eb3-89ef-11e6-9fb5-a45e60e298d3
Cody Zeller,2015-16,95,35.185,80,1.012,270,ff42a38f-89ef-11e6-bb6d-a45e60e298d3
David Lee,2014-15,93,46.500,74,0.880,200,ff41bc0a-89ef-11e6-8b1d-a45e60e298d3
Rudy Gobert,2021-22,92,25.068,76,1.077,367,ff42a142-89ef-11e6-8c3b-a45e60e298d3
Ryan Anderson,2016-17,92,14.154,74,0.844,650,ff418d17-89ef-11e6-95e4-a45e60e298d3
Giannis Antetokounmpo,2018-19,92,8.622,79,0.888,1067,ff423b75-89ef-11e6-a507-a45e60e298d3
  Nene,2017-18,92,41.441,79,0.873,222,ff4295ee-89ef-11e6-8d6a-a45e60e298d3
Brandon Clarke,2021-22,91,14.286,83,0.976,637,8c8c43ec-1dc2-4cf0-a68b-641c8fb6e45d
Andre Drummond,2015-16,91,38.889,76,0.908,234,ff415268-89ef-11e6-a137-a45e60e298d3
Paul Millsap,2018-19,90,10.112,72,0.903,890,ff415538-89ef-11e6-9b07-a45e60e298d3
Boban Marjanovic,2018-19,90,40.541,76,1.078,222,ff421770-89ef-11e6-b651-a45e60e298d3
Kelly Olynyk,2019-20,90,17.476,77,1.026,515,ff426326-89ef-11e6-a607-a45e60e298d3
Al Jefferson,2013-14,89,44.724,74,0.908,199,ff42d721-89ef-11e6-a9ef-a45e60e298d3
Robert Williams III,2021-22,89,11.528,73,0.753,772,79b83f96-5723-4219-b521-57de6111ee97
Amir Johnson,2016-17,87,30.742,73,0.918,283,ff4157f5-89ef-11e6-be80-a45e60e298d3
Dewayne Dedmon,2021-22,87,31.868,75,1.093,273,ff41de23-89ef-11e6-a0fc-a45e60e298d3
Myles Turner,2018-19,86,33.725,73,0.986,255,ff41bc78-89ef-11e6-a5bf-a45e60e298d3
Paul Reed,2021-22,86,31.734,74,0.933,271,1736561c-d0c5-41ac-bd1c-1a28454ddb79
Nikola Vucevic,2018-19,86,30.175,71,1.211,285,ff4220dc-89ef-11e6-83c6-a45e60e298d3
Robin Lopez,2014-15,86,38.739,76,0.922,222,ff425eb3-89ef-11e6-9fb5-a45e60e298d3
Meyers Leonard,2014-15,86,43.655,71,0.847,197,ff416f5c-89ef-11e6-9530-a45e60e298d3
Enes Freedom,2019-20,86,43.000,72,1.000,200,ff41d597-89ef-11e6-99f9-a45e60e298d3
David West,2015-16,85,25.602,73,0.892,332,ff42cc75-89ef-11e6-a9c8-a45e60e298d3
Derrick Favors,2017-18,84,14.533,73,1.105,578,ff4036a1-89ef-11e6-a631-a45e60e298d3
Udonis Haslem,2013-14,84,27.184,70,1.143,309,ff413211-89ef-11e6-8e43-a45e60e298d3
Precious Achiuwa,2021-22,84,26.415,73,1.384,318,acdc968b-e5a7-4251-9fb6-d54204d6fdd2
Onyeka Okongwu,2020-21,84,25.075,77,0.962,335,33d4de56-c864-4043-857f-8cd9a2074698
Meyers Leonard,2018-19,84,24.419,72,1.000,344,ff416f5c-89ef-11e6-9530-a45e60e298d3
P.J. Tucker,2019-20,83,10.036,75,0.868,827,ff41362b-89ef-11e6-babd-a45e60e298d3
Jusuf Nurkic,2019-20,83,19.302,75,1.079,430,ff42622b-89ef-11e6-9088-a45e60e298d3
Jakob Poeltl,2017-18,81,29.562,61,0.578,274,ca6b7e96-9060-4d5a-8bef-1a8b6ab230ec
Mike Muscala,2014-15,79,40.513,66,0.783,195,ff421b63-89ef-11e6-8715-a45e60e298d3
Grant Williams,2021-22,78,6.000,72,0.808,1300,561048bb-c412-4d8b-a0bc-27d250a1a431
David Lee,2016-17,78,17.105,74,1.054,456,ff41bc0a-89ef-11e6-8b1d-a45e60e298d3
Nikola Mirotic,2017-18,78,11.538,64,0.879,676,ff429e85-89ef-11e6-a63b-a45e60e298d3
Boris Diaw,2013-14,78,6.701,68,0.928,1164,ff42afb5-89ef-11e6-954e-a45e60e298d3
Marc Gasol,2013-14,78,13.904,71,0.915,561,ff420730-89ef-11e6-bafd-a45e60e298d3
Dwight Howard,2015-16,77,21.813,64,1.000,353,ff418bd7-89ef-11e6-9e3d-a45e60e298d3
Nicolas Batum,2020-21,76,7.083,67,1.090,1073,ff4239f0-89ef-11e6-a24c-a45e60e298d3
Clint Capela,2014-15,76,28.044,70,0.917,271,ff414a2b-89ef-11e6-a46a-a45e60e298d3
Nerlens Noel,2020-21,76,41.304,62,1.095,184,ff41260a-89ef-11e6-a369-a45e60e298d3
LaMarcus Aldridge,2014-15,75,19.084,63,0.746,393,ff4291dc-89ef-11e6-8416-a45e60e298d3
Nikola Vucevic,2019-20,74,18.734,68,1.103,395,ff4220dc-89ef-11e6-83c6-a45e60e298d3
Myles Turner,2016-17,74,28.906,60,0.919,256,ff41bc78-89ef-11e6-a5bf-a45e60e298d3
Zaza Pachulia,2015-16,73,34.928,65,1.091,209,ff403f19-89ef-11e6-8e8d-a45e60e298d3
Amir Johnson,2014-15,72,33.028,57,0.898,218,ff4157f5-89ef-11e6-be80-a45e60e298d3
Daniel Theis,2021-22,71,17.317,59,0.847,410,64c01255-432f-4e9b-a475-6f8c38e8e882
Domantas Sabonis,2018-19,71,38.798,58,0.881,183,800c3b36-c941-4605-ae99-9ce2b60edbdf
Glen Davis,2013-14,71,22.327,56,0.776,318,ff415440-89ef-11e6-aac5-a45e60e298d3
DeJuan Blair,2013-14,71,44.375,58,1.051,160,ff411c14-89ef-11e6-b163-a45e60e298d3
Kenneth Faried,2018-19,71,62.281,60,0.721,114,ff413559-89ef-11e6-9991-a45e60e298d3
Ersan Ilyasova,2014-15,71,25.448,58,0.983,279,ff415e54-89ef-11e6-b695-a45e60e298d3
DeMarcus Cousins,2018-19,70,26.415,57,1.193,265,ff41c6d1-89ef-11e6-a1ca-a45e60e298d3
Anthony Davis,2017-18,70,9.223,62,0.730,759,ff41df59-89ef-11e6-810a-a45e60e298d3
Blake Griffin,2020-21,70,11.111,64,0.969,630,ff41ff8a-89ef-11e6-95d3-a45e60e298d3
Tyler Zeller,2014-15,70,40.462,52,0.800,173,ff4287f3-89ef-11e6-ad05-a45e60e298d3
Nikola Vucevic,2021-22,69,18.548,63,0.778,372,ff4220dc-89ef-11e6-83c6-a45e60e298d3
Jaren Jackson Jr.,2020-21,69,18.598,63,1.047,371,9b2369c7-8445-48db-9fb5-99c10ec4b942
Dario Saric,2020-21,69,24.555,60,1.067,281,2012cb09-52c9-4f61-a273-f1b86a12b9ef
Kevin Seraphin,2014-15,68,46.575,53,1.019,146,ff419645-89ef-11e6-9aa0-a45e60e298d3
Taj Gibson,2014-15,68,13.052,59,1.102,521,ff42877a-89ef-11e6-a6cd-a45e60e298d3
Marvin Williams,2019-20,68,17.895,63,0.921,380,ff411c78-89ef-11e6-a99e-a45e60e298d3
Kosta Koufos,2014-15,67,28.632,54,0.963,234,ff41fdee-89ef-11e6-855b-a45e60e298d3
Anderson Varejao,2015-16,67,36.413,55,0.857,184,ff411e8a-89ef-11e6-9a8f-a45e60e298d3
Dewayne Dedmon,2016-17,67,34.715,57,1.000,193,ff41de23-89ef-11e6-a0fc-a45e60e298d3
Jonas Valanciunas,2014-15,66,32.195,59,1.100,205,ff429666-89ef-11e6-a005-a45e60e298d3
Dorian Finney-Smith,2021-22,66,5.027,51,0.923,1313,c1976fde-8666-41cb-8965-0b530d931507
Zaza Pachulia,2014-15,66,25.984,57,0.552,254,ff403f19-89ef-11e6-8e8d-a45e60e298d3
Jaren Jackson Jr.,2021-22,66,9.442,60,0.762,699,9b2369c7-8445-48db-9fb5-99c10ec4b942
John Henson,2014-15,66,23.322,54,1.089,283,ff429917-89ef-11e6-97c2-a45e60e298d3
Marreese Speights,2016-17,64,35.955,52,1.000,178,ff42334c-89ef-11e6-86f9-a45e60e298d3
Brandan Wright,2013-14,64,37.209,56,0.931,172,ff428868-89ef-11e6-acd6-a45e60e298d3
JaVale McGee,2019-20,64,23.358,49,0.918,274,ff41d4eb-89ef-11e6-8055-a45e60e298d3
John Henson,2017-18,63,44.681,56,0.696,141,ff429917-89ef-11e6-97c2-a45e60e298d3
Rudy Gobert,2018-19,63,20.128,57,1.035,313,ff42a142-89ef-11e6-8c3b-a45e60e298d3
Markieff Morris,2017-18,63,17.308,50,1.160,364,ff41cb11-89ef-11e6-8285-a45e60e298d3
Markieff Morris,2019-20,63,8.214,53,0.887,767,ff41cb11-89ef-11e6-8285-a45e60e298d3
Xavier Tillman,2021-22,63,21.356,53,1.226,295,6f81f6a8-9bdf-45e7-b034-e889bce73ce3
Cole Aldrich,2015-16,62,41.611,52,0.963,149,ff424c42-89ef-11e6-abc4-a45e60e298d3
Domantas Sabonis,2020-21,62,42.177,52,1.000,147,800c3b36-c941-4605-ae99-9ce2b60edbdf
Jermaine O'Neal,2013-14,60,37.037,48,1.000,162,ff42ea07-89ef-11e6-95d3-a45e60e298d3
Boban Marjanovic,2019-20,60,35.294,56,0.897,170,ff421770-89ef-11e6-b651-a45e60e298d3
Harrison Barnes,2014-15,60,4.498,51,0.588,1334,ff42689e-89ef-11e6-ba3e-a45e60e298d3
Kevin Durant,2013-14,59,3.768,51,0.902,1566,ff42cfdc-89ef-11e6-8347-a45e60e298d3
Justise Winslow,2015-16,58,9.477,47,0.592,612,ff42223a-89ef-11e6-a5db-a45e60e298d3
John Collins,2020-21,58,5.004,49,1.100,1159,b4c77ef1-d34b-4911-9114-1f7e0f3aca68
Enes Freedom,2016-17,56,59.574,50,0.980,94,ff41d597-89ef-11e6-99f9-a45e60e298d3
Jared Sullinger,2014-15,56,35.220,46,0.745,159,ff424e40-89ef-11e6-b8eb-a45e60e298d3
Zach Randolph,2015-16,55,25.114,47,1.042,219,ff423145-89ef-11e6-8a8a-a45e60e298d3
Greg Monroe,2017-18,55,26.961,49,1.240,204,ff4279b8-89ef-11e6-9faa-a45e60e298d3
Amir Johnson,2015-16,55,21.073,45,0.578,261,ff4157f5-89ef-11e6-be80-a45e60e298d3
Ian Mahinmi,2017-18,55,53.398,46,0.792,103,ff4231c5-89ef-11e6-9db4-a45e60e298d3
